✅  Key pool loaded: 1 key(s) available for rotation.
[WARN] Redis unavailable; using in-memory state only: 
INFO:     127.0.0.1:55073 - "POST /process-documents HTTP/1.1" 200 OK
INFO:     127.0.0.1:55107 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:55115 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:55121 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:55130 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:52146 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:52182 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:54194 - "GET /data/9c894c7a-705a-491c-b4cd-0f2cc22330ea HTTP/1.1" 403 Forbidden
INFO:     127.0.0.1:54233 - "POST /process-documents HTTP/1.1" 200 OK
INFO:     127.0.0.1:54240 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54241 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55865 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49677 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49678 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59072 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59074 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59075 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55327 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55328 - "POST /export-zip/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:57890 - "GET /data/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57891 - "POST /export-zip/5e57c026-203b-4cd4-944d-7d87b0b9f8d1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62214 - "GET / HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:62214 - "GET /8090/8100 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:61517 - "GET / HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:61517 - "GET /8090/8100 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:55947 - "GET / HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:55947 - "GET /8090/8100 HTTP/1.1" 404 Not Found
